index,sec,mean,std
90,0.267188753,9,0
100,0.274083512,10,0
118,0.286069121,10.57142857,0
160,0.312633821,9.857142857,0.134687006
180,0.326300962,9.05952381,0.12920246
190,0.333104304,9.678571429,0.464215612
210,0.353801489,9.821428571,0.339403106
231,0.386102813,10.45238095,0.281629217
251,0.422832387,9.69047619,0.281629217
280,0.451970169,9.642857143,0.071428571
291,0.459570544,9.357142857,0.18807094
301,0.466211489,9.785714286,0.5
320,0.478163072,9.714285714,0.285714286
332,0.48664873,10.57142857,0.571428571
355,0.510255371,9.985714286,0.471428571
374,0.522203548,9.428571429,0.142857143
385,0.529711246,9.928571429,0.214285714
398,0.538088867,9.928571429,0.172443826
424,0.569131477,9.952380952,0.321031304
438,0.588640758,9.523809524,0.321031304
450,0.615215302,9.785714286,0.214285714
468,0.649116823,10.07142857,0.214285714
484,0.659746102,9.976190476,0.541128729
494,0.666586467,9.80952381,0.563258435
517,0.692597764,9.571428571,0
531,0.702039821,9.595238095,0.255414443
544,0.710702215,9.357142857,0.357142857
560,0.721025433,10.02380952,0.372056812
578,0.733603546,9.821428571,1.323157045
592,0.743002926,10.28571429,0.142857143
614,0.765347106,9.428571429,0.259499512
637,0.793661663,10.14285714,0.428571429
654,0.821024111,10.57142857,0.285714286
677,0.8376363,10.85714286,0.142857143
691,0.847069298,11.47619048,0.353057789
705,0.866561856,12.57142857,0.428571429
741,0.901302235,14.28571429,0.142857143
762,0.915586029,14.5,0.357142857
785,0.931427888,15.21428571,0.357142857
797,0.949627025,13.57142857,0.142857143
812,0.966294595,12.57142857,0.45571831
835,0.987740857,15,0.714285714
854,1.023088762,15.57142857,1.12572973
867,1.031873669,13.42857143,0
884,1.050096103,11.42857143,0.428571429
904,1.069977011,11.42857143,0.285714286
922,1.082596949,12.42857143,0.428571429
935,1.091318812,13.69047619,1.063258435
958,1.107293197,12.33333333,0.789458455
972,1.124192851,12.66666667,0.563258435
990,1.147006546,12.25,0.328434015
1014,1.17684286,12.21428571,0.357142857
1027,1.185186386,11.80952381,0.669170682
1045,1.197198629,9.738095238,0.576445747
1064,1.22153759,10.52380952,0.495914932
1102,1.28106686,11.28571429,0
1117,1.291854109,13.07142857,0.071428571
1145,1.320666518,11.78571429,0.357142857
1165,1.340623004,13.71428571,0.428571429
1181,1.350820541,13.35714286,0.071428571
1198,1.364036015,13.60714286,2.139859992
1220,1.388505527,14.83333333,0.491829863
1242,1.40622047,16.07142857,1.928571429
1257,1.425944328,12.76190476,0.134687006
1268,1.443044731,16.28571429,2
1291,1.457672698,10.78571429,0.5
1311,1.48968499,10.57142857,0.285714286
1331,1.519212621,12.5,0.785714286
1350,1.532546486,12.21428571,1.071428571
1372,1.54824979,11.35714286,0.642857143
1385,1.564597266,14,0
1404,1.577028683,11.0952381,1.112795808
1427,1.601100343,16.64285714,0.071428571
1441,1.61073838,10.71428571,1.142857143
1454,1.620303256,13.0952381,0.134687006
1478,1.647315059,12.85714286,2.142857143
1508,1.676242181,13.71428571,1.571428571
1530,1.71479845,10.64285714,0.214285714
1542,1.725074564,14.66666667,0.385667596
1568,1.745911905,13.78571429,0.44892603
1592,1.77316543,12.47619048,0.749602733
1610,1.786371572,16.80952381,0.843811674
1622,1.80376356,15.57142857,0.285714286
1648,1.824546371,19.80952381,3.926936305
1678,1.86580692,12.5,0.214285714
1692,1.885699613,13.35714286,0.214285714
1721,1.912825891,13.0952381,1.041128729
1735,1.922012636,13.76190476,0.134687006
1757,1.935607706,15.54761905,2.392459876
1775,1.947428669,12.35714286,0.214285714
1800,1.973687615,13.5,0.928571429
1812,1.983121497,10.26190476,0.281629217
1827,2.013281754,11.35714286,0.357142857
1857,2.037929467,13.92857143,1.951463843
1880,2.064951284,9.928571429,0.357142857
1898,2.07719653,12.64285714,1.642857143
1918,2.11353503,12.07142857,2.19583267
1934,2.124410459,14.35714286,0.5
1950,2.134870086,16.07142857,3.411006022
1962,2.143335308,11.42857143,0.285714286
1974,2.159152406,18.57142857,0
1992,2.171213457,9.619047619,0.178174161
2004,2.188113928,13.46428571,3.822510326
2034,2.216549192,11.14285714,0.285714286
2047,2.235035454,15.78571429,5.460599613
2070,2.263018847,10.80952381,1.042833092
2085,2.285084179,11.97619048,0.138772074
2101,2.296647344,13.07142857,0.214285714
2122,2.310534069,12.35714286,0.785714286
2148,2.326867785,10.97619048,0.138772074
2170,2.348023653,9.964285714,0.061858957
2182,2.364855664,10.85714286,0.571428571
2194,2.373084239,14.07142857,2.616642369
2217,2.407729864,13.85714286,0
2238,2.433494227,11.9047619,0.210200646
2252,2.442714044,12.28571429,0.571428571
2267,2.461642742,12.42857143,0.142857143
2290,2.491065298,11.45238095,1.491829863
2305,2.502113036,11.5,0.5
2324,2.514924901,12.35714286,0.214285714
2340,2.526943513,13.39285714,0.3327366
2358,2.546495199,11.85714286,0.142857143
2375,2.557463918,12.57142857,0
2392,2.568386759,10.61904762,0.067343503
2415,2.604022128,10.9047619,1.035317018
2435,2.636394978,11.71428571,0
2454,2.648313522,13.0952381,0.067343503
2464,2.654863732,12.46428571,0.345755205
2482,2.666754586,18.57142857,4.056416152
2502,2.690668889,13.42857143,0.116642369
2520,2.715998377,11.28571429,0.142857143
2540,2.730530126,12,0.291605922
2551,2.738203321,11.42857143,0
2570,2.750576769,17.85714286,0
2584,2.783452681,12.88095238,0.732095613
2612,2.801732268,13.78571429,0.071428571
2638,2.828399181,11.35714286,0.642857143
2648,2.840916055,11.53571429,0.261308028
2670,2.854644639,11.19047619,0.178174161
2681,2.870807648,13.85714286,1
2707,2.887594564,14.61904762,1.298743738
2725,2.906689031,13.54761905,1.10674559
2744,2.92839786,13.9047619,0.781629217
2772,2.955121074,13.80952381,2.293543524
2792,2.977309534,12,0.714285714
2815,2.991922651,12,0.285714286
2832,3.014778546,15.80952381,1.428310432
2857,3.052122899,14.14285714,0
2881,3.070031575,14.35714286,0.214285714
2895,3.079575879,14.07142857,1.473785226
2918,3.110894782,15.07142857,1.733284737
2935,3.123042822,12.78571429,0.5
2955,3.143051624,12.28571429,0.142857143
2981,3.160638809,13.30952381,0.702030509
3001,3.175787755,14,0.259499512
3021,3.206933396,10.28571429,0.142857143
3032,3.214843307,16.35714286,1.118033989
3052,3.228619405,10.5952381,0.392459876
3064,3.236420938,14.35714286,0.214285714
3095,3.27469635,17.57142857,0.285714286
3114,3.293793065,12.61904762,0.517809899
3131,3.312845707,14.71428571,0.428571429
3150,3.331576518,15.42857143,0.428571429
3167,3.356315374,12.03571429,0.133287529
3198,3.377848353,11.85714286,0.116642369
3215,3.397833484,10.95238095,0.558378831
3252,3.433391946,12.76190476,0.420401292
3285,3.467298678,23.66666667,0.814239024
3311,3.502600261,16.57142857,0.959353724
3332,3.516429765,18.85714286,0
3361,3.545136213,15.66666667,0.245517664
3375,3.554401772,16.5952381,1.628719426
3430,3.614472491,12.07142857,0.357142857
3455,3.631721463,21.42857143,0.259499512
3481,3.669566393,18.07142857,1.071428571
3494,3.677857842,20.07142857,0.214285714
3510,3.687908309,15.11904762,1.281629217
3538,3.728243419,13.9047619,0.067343503
3555,3.748719181,19.5,0.5
3584,3.774275133,18.78571429,7.642857143
3610,3.800258602,10.92857143,0.304713309
3641,3.828261205,27.73809524,0.34897272
3661,3.842088257,15.89285714,0.261308028
3682,3.867502723,15.78571429,0.071428571
3718,3.891865117,21.64285714,0.071428571
3751,3.935757092,24,0.37614188
3786,3.984551787,17.91666667,2.583333333
3788,3.959409578,17.28571429,0
3821,4.016066194,30.55555556,0.671280332
3835,4.02255249,23.54761905,2.206115577
3838,4.026911815,15.08333333,2.916666667
3861,4.056270191,26.42857143,0.571428571
3885,4.085236152,17.66666667,1.365240225
3905,4.090269191,24.42857143,0
3911,4.113568544,15.5,0
3950,4.149268389,13.77777778,0.480936347
3957,4.147251095,23.35714286,1.928571429
3985,4.182313879,25.75,0.083333333
4011,4.221312006,19.83333333,0.36004115
4022,4.208969116,31.28571429,3.368251704
4033,4.23655951,19.33333333,0.833333333
4076,4.27852869,27.86111111,1.161900753
4085,4.293424606,37.71428571,2.428571429
4118,4.315042456,21,0.166666667
4135,4.325648944,18.91666667,0.416666667
4148,4.516486679,41.0952381,0.551230329
4170,4.362267494,21.33333333,0.333333333
4174,4.532054152,39.07142857,2.642857143
4203,4.395939231,24.69444444,1.791203188
4205,4.571471521,39.57142857,0
4217,4.585141829,33.28571429,0
4237,4.599414791,28.61904762,0.178174161
4251,4.476695855,14.5,0.636082763
4280,4.495134155,21.38888889,3.809561912
4306,4.512396336,28.33333333,0
4360,4.567661246,27.88888889,1.668979476
4395,4.597967227,25.33333333,0
4435,4.644916733,22.66666667,6.5
4483,4.68907249,33.22222222,4.085505847
4521,4.738787174,22.5,0.166666667
4570,4.782121976,29.66666667,1.5
4601,4.802541455,31.27777778,3.431089631
4631,4.845975876,33.83333333,10
4655,4.872084777,24,1.161092468
4668,4.881358941,36.91666667,0.083333333
4715,4.945886056,35.83333333,0
4750,4.973143617,44.08333333,0.083333333
4780,5.005289594,26.33333333,0
4831,5.046417236,16.11111111,0.342467445
4876,5.094667315,23.45833333,0.981151844
4901,5.111203869,25.66666667,0
4935,5.150840918,32.25,0.75
4983,5.193594813,32,0
5048,5.253515999,55.33333333,2.10549886
5126,5.332620263,41.83333333,0.5
5183,5.385524392,33.66666667,1
5215,5.426228921,35.25,0.083333333
5245,5.456955036,33.58333333,1.583333333
5290,5.511005282,36.83333333,0
5320,5.537791053,42.16666667,0.333333333
5370,5.580986301,39,0
5400,5.600550691,26,0
5443,5.638430913,42.33333333,0.166666667
5473,5.675894658,26.5,0
5565,5.783956329,30.91666667,0.25
5623,5.840126872,32.66666667,0
5650,5.870424032,50.01666667,0.083333333
5761,5.962310592,47.83333333,0
5860,6.049232403,59.66666667,0
5908,6.094958115,36.2,0
5938,6.125820494,51,0
5968,6.167473435,59.33333333,0.136082763
6034,6.2200634,39.2,0
6082,6.26669817,45.6,0
6101,6.45945851,67.58333333,0.75
6138,6.503017426,65.91666667,5.416666667
6252,6.438962936,50.6,0
6296,6.477526712,73.4,0
6300,6.708217382,64.75,0
6388,6.583839273,65,0
6415,6.808973491,50.5,0
6460,6.639711332,78.6,0.2
6465,6.851762056,68.75,0
6525,6.904735029,58.91666667,0.424918293
6542,6.740426445,69.3,4.7
6564,6.755410814,61.4,0
6565,6.687783718,49,0
6625,6.805607677,38.5,0
6650,6.822240591,70,0
6656,6.86979394,67.8,0
6704,7.129901505,79.4,0
6730,7.041914701,62,2.666666667
6735,7.103683889,87.25,14.75
6745,6.882909536,73.5,0
6772,7.185748386,93.7,2.1
6783,7.093607267,65,0
6807,7.177603424,104,0.5
6875,7.220368922,82.25,1.90824829
