index,sec,mean,std
90,0.13686353,9,0
100,0.143462211,10,0
111,0.150636077,11.125,0
133,0.164165974,11.125,0
170,0.187603921,9.15625,0.054126588
185,0.196927279,9.291666667,0.125
198,0.205188006,9.933333333,0.302825617
209,0.213178843,10.375,0.213388348
234,0.229500771,10.375,0.462764333
259,0.244721174,9.4375,0.227062073
279,0.257077754,10.51041667,0.346305328
291,0.265065491,10.17291667,0.054126588
313,0.277851462,9.5625,0.336392565
331,0.289667934,9.5625,0
345,0.298213065,9.458333333,0.3125
365,0.310498685,9.572916667,0.296977718
379,0.319078863,10.03125,0.136215592
399,0.331212252,10.3125,0.289562073
415,0.34112218,10.1875,0.25
429,0.349554837,10.075,0.589276695
451,0.36376211,10.3125,0.153093109
470,0.375445604,9.552083333,0.47507009
489,0.386794478,9.75,0
501,0.394527286,10.17708333,0.341338768
515,0.403405339,9.5,0.363052153
533,0.414025515,10.75,0.25
559,0.430001587,11.0625,0.0625
576,0.440710515,11.625,0
591,0.450239658,10.41666667,0
611,0.462827206,11.64583333,0.218402391
628,0.472718775,11.45,0.512026525
648,0.486029923,12.1875,0
669,0.499126911,13.0625,0.25
696,0.515464067,15.375,0.25
714,0.527618259,14.5625,0.957530862
731,0.538210809,13.25,2.125
750,0.549811393,14.125,0.790061725
766,0.5601632,14.8125,1.375
783,0.569793701,13.41666667,0.125
804,0.582384199,13.8125,0.183925565
816,0.589944839,12.97916667,0.390583661
828,0.596816868,13.58333333,0.835223376
850,0.61065957,10.14583333,0.25
866,0.620555699,13.75,0.29820226
883,0.630314589,12.3125,0.18035113
895,0.637957007,10.9375,0.204124145
919,0.653316647,10.4375,0.327254249
946,0.670785159,11.1875,0
960,0.679314911,11.8125,0.0625
974,0.687775522,10.6875,1.375
990,0.697634876,13.0625,0.4375
1008,0.708092868,12.75,1.5625
1029,0.72202754,14,0.936903427
1039,0.728243738,13.375,1.3125
1054,0.737199903,14.5,0.0625
1078,0.751438826,12.3125,0.5625
1089,0.75829944,10.3125,0
1103,0.76682505,13.625,0.1875
1121,0.778036177,10.875,0
1145,0.791975737,11.10416667,0.11785113
1163,0.802477926,11.0625,0.343402391
1179,0.812189668,12.27083333,1.395030862
1193,0.820562214,10.27083333,1.422556216
1210,0.831323475,12.6875,0.375
1230,0.843562007,12.5,0.352062073
1250,0.855697691,13.04166667,0.176776695
1264,0.864121169,10,0.405902391
1278,0.872530699,10.84375,1.125
1295,0.883324564,12.0625,0.261215592
1308,0.890980273,9.6875,0.266624145
1333,0.906037539,11.6875,0.755190373
1356,0.920136839,12.53125,0.530207173
1378,0.932816535,10.375,0.054126588
1393,0.942102849,12.5,0.539562073
1404,0.948944151,12.5,0.1875
1425,0.961471975,11.77083333,0.593402391
1444,0.973303854,11.0625,1.1875
1460,0.983000487,12.0625,0.539562073
1476,0.992837608,9.96875,0.51643247
1496,1.004598528,12.53125,1.267419954
1510,1.012984782,11.125,0.25
1525,1.022070557,11.8125,0.125
1549,1.035997599,11.39583333,1.433925565
1571,1.049213141,10.5625,0
1586,1.05818814,10.5625,0.4375
1599,1.065730631,10.6875,0.1875
1615,1.07539466,10.85416667,0.8125
1634,1.087073922,11.9375,2.46056703
1656,1.100577265,12.75,0.25
1670,1.108899385,13.77083333,0.57554971
1685,1.118032485,11.75,1.278093109
1704,1.129357219,9.8125,0.125
1724,1.141315311,11.25,1.891456428
1735,1.148114383,12.8125,0.218402391
1751,1.157708198,10.28125,0.849517326
1763,1.164477527,11.25,0.0625
1778,1.173484832,12.5625,0.4375
1804,1.189089417,12.70833333,0.308925565
1815,1.195954263,10.1875,0.1875
1831,1.206187397,10.25,0.25
1846,1.215448618,10.75,0.125
1864,1.226002395,10.625,0.233253175
1879,1.235041559,11.875,0.375
1898,1.246235281,9.666666667,0.324090608
1915,1.257095128,9.895833333,0.348487638
1928,1.26481241,9.625,0.375
1945,1.275222003,9.8125,0.204124145
1964,1.286384165,9.9375,0.266556942
1984,1.298511356,9.8125,0.25
1998,1.306963086,11.96875,1.741626588
2010,1.314564824,10.5625,0.0625
2026,1.32428664,10.27083333,0.68035113
2045,1.335453302,11.0625,0.343402391
2068,1.348873585,9.125,0.579124145
2083,1.357993722,9.379166667,0.333273797
2095,1.365573525,9.5,0.371425565
2119,1.379694492,12.35416667,0.256850583
2136,1.39043799,10.7125,2.559403364
2155,1.401919603,10.5625,1.130110657
2174,1.414167225,11.79166667,0.308925565
2190,1.423938304,9.75,0.246425565
2205,1.433001369,9.9375,0.875
2219,1.441403896,9.604166667,0.43035113
2233,1.449774981,10,0
2250,1.460164487,9.541666667,0.176776695
2264,1.468637943,10.0625,0.732127825
2281,1.479107827,9.5,0.0625
2300,1.490396529,10.65625,0.435933574
2314,1.498775274,11.5,0.375
2329,1.508173615,10.78125,0.125
2344,1.517138273,9.625,0.283995655
2363,1.528300017,10.4375,0.1875
2374,1.5352045,9.8125,0.625
2390,1.545112163,10.625,0.1875
2405,1.554117024,9.958333333,0.43035113
2420,1.564678133,10.25,0.170753175
2443,1.578569382,9.5625,0.25
2456,1.586951047,10.26041667,0.379066722
2469,1.594700694,9.4375,0.227062073
2481,1.602408081,9.625,0.375
2498,1.612334698,10.125,0.8125
2516,1.6240035,11.02083333,0.0625
2531,1.633553177,9.5625,0.24285113
2548,1.643490314,12.125,0.739276695
2561,1.652060002,10.3125,0.0625
2583,1.664674878,10.5625,0.25
2598,1.6736615,9.5,0.364276695
2621,1.688269019,10.5625,0.539562073
2636,1.697453916,10.9375,0.599978956
2650,1.705965787,10,1.105676549
2668,1.716690183,11.625,0.3125
2681,1.725003988,10.125,0
2694,1.732835531,9.78125,0
2711,1.743547678,9.84375,0.602649373
2725,1.751831084,10.5,0.125
2743,1.762365878,9.791666667,0.0625
2755,1.769981503,11.4375,0.382964464
2773,1.780527145,10.0625,0.426776695
2790,1.791001648,10.3125,0.5
2813,1.804512471,11.25,0.125
2831,1.816790432,10.75,0.5
2848,1.827491313,11,0.125
2858,1.833654672,11.35416667,0.93035113
2874,1.843519092,11.5625,0.246425565
2896,1.856884301,11.375,0.25
2913,1.866780519,9.708333333,0.0625
2931,1.878785074,9.875,0.183925565
2946,1.889133453,11.625,0.139754249
2956,1.89527607,11.14583333,0.30535113
2973,1.90508762,14.82291667,0.471404521
2989,1.914959878,14.75,0.136215592
3001,1.922566146,10.4375,0.1875
3014,1.930243373,11.54166667,0.212459146
3029,1.939172804,9.5625,0.0625
3043,1.947512835,10.08333333,0
3054,1.954329818,10.5,0.058925565
3069,1.963348359,10.4375,0.3125
3086,1.973684251,11.1875,0.8125
3106,1.986120552,9.541666667,0.24285113
